vem_id,merc_id,sarima,ets,prophet,croston_tsb,linear,xgboost,lightgbm,dlinear,timemixer,timesnet
VEM0003,MERC00001,6.561992278371972e-34,8.401727300458507e-31,2.1456525835936278e-21,9.199753162294493e-18,0.9999997299812758,1.7668204392607154e-11,1.685634468673284e-17,9.000035196352527e-08,9.000035196352527e-08,9.000035196352527e-08
VEM0003,MERC00002,0.007991358377932963,0.7183376041218315,0.20626399901728787,0.0003084236478585468,0.06620620775102758,2.8552463364396864e-05,0.0008638546206972476,8.927748894000385e-31,8.927748894000385e-31,8.927748894000385e-31
VEM0003,MERC00003,1.0011191444104326e-06,0.11360683745404365,9.59685072121911e-07,4.0033848331813994e-10,0.6751608365468544,0.08054423178274805,4.462519337760961e-05,0.04354716927280712,0.04354716927280712,0.04354716927280712
VEM0003,MERC00004,1.2899360846439203e-51,3.887464892671392e-08,2.4877235198326674e-07,2.409448572020264e-08,0.9995267423827643,0.000206488022144522,0.0002664578536045873,1.0832874561588853e-20,1.0832874561588853e-20,1.0832874561588853e-20
VEM0003,MERC00005,6.636229951273948e-08,0.05052093474735,0.07621909216075197,0.8710034237801332,0.00011000339315826188,9.559245849660083e-07,0.0021455236317221393,6.631281825047291e-17,6.631281825047291e-17,6.631281825047291e-17
VEM0003,MERC00006,0.11971697002201397,4.594982407833399e-05,0.7371812058558719,0.0063690802413470275,1.5155082054921128e-07,0.00027106973996114865,0.13641557276568392,7.449847355808896e-14,7.449847355808896e-14,7.449847355808896e-14
VEM0004,MERC00001,0.00032357071365290654,7.336384253020237e-07,0.028288912537520527,2.028574400885661e-09,0.9713763482191141,2.2877522246645772e-11,1.1518730955988243e-21,3.477613278359651e-06,3.477613278359651e-06,3.477613278359651e-06
VEM0004,MERC00002,0.3403155115149298,1.047505302319147e-05,9.934952270800815e-06,0.00038387573961099327,0.059668070292143736,0.0467268026978506,0.5528853297501709,5.397478249948527e-36,5.397478249948527e-36,5.397478249948527e-36
VEM0004,MERC00003,0.26019329750385617,0.0002492198515443348,3.0144854244408766e-19,0.030264968114076553,6.687969453062984e-15,3.335572750080018e-05,0.709259158802555,1.5348174074842585e-13,1.5348174074842585e-13,1.5348174074842585e-13
VEM0004,MERC00004,5.058258140728e-07,1.576412301511762e-05,0.9741745745296204,7.381347433648503e-07,0.01796974611339608,0.006442892593263581,1.1070069122956372e-06,0.00046489055774504874,0.00046489055774504874,0.00046489055774504874
VEM0004,MERC00005,4.128569467636733e-07,0.0009134043777292431,0.9938031989311349,3.512999140620205e-12,2.837253455256393e-05,0.005254604833573945,2.065814885356849e-09,1.4655781728572282e-09,1.4655781728572282e-09,1.4655781728572282e-09
VEM0004,MERC00006,5.90818616621229e-14,3.508680720334338e-06,0.23889920014446347,4.832130098751989e-11,0.7599183509471684,3.322110919950548e-05,0.0011457190700677148,5.678609370572985e-47,5.678609370572985e-47,5.678609370572985e-47
